S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
71,GMFBS,37.47,"1,723.00","1,734.00","1,626.00","1,645.10","1,659.50",-14.40,-0.01,"1,660.27","2,491.00","1,689.96","4,135,736.40",64,-44.86,108.00,-2.65,6.64,-0.92,"1,636.13","1,681.87","1,980.00","1,397.00"
72,GMFIL,23.69,509.10,510.00,490.10,493.56,490.10,3.46,0.01,500.55,"10,659.00",500.51,"5,335,312.30",70,-6.95,19.90,-1.39,4.06,-1.42,504.69,531.43,759.00,436.50
73,GMLI,45.24,"2,101.00","2,195.00","2,078.00","2,082.51","2,078.00",4.51,0.00,"2,129.15","9,699.00","2,101.68","20,650,636.00",217,-19.17,117.00,-0.91,5.63,-2.24,"2,109.44",0.00,"2,778.00",301.00
74,GRDBL,31.30,"1,248.00","1,290.00","1,207.10","1,217.19","1,220.00",-2.81,0.00,"1,246.25","17,376.00","1,247.65","21,654,902.20",273,-30.46,82.90,-2.44,6.87,-2.39,"1,315.52","1,254.29","2,001.40",569.00
75,GSY,33.59,9.50,10.10,9.42,9.93,9.93,0.00,0.00,9.89,"30,110.00",9.61,"297,928.00",85,0.32,0.68,3.33,7.22,0.36,0.00,0.00,10.30,8.80
76,GUFL,25.43,555.70,566.80,550.00,553.48,550.00,3.48,0.01,556.36,"10,699.00",563.78,"5,952,450.40",113,-10.30,16.80,-1.83,3.05,-0.52,577.15,615.56,"1,041.00",521.50
77,GVL,25.22,570.10,570.10,540.00,543.84,542.20,1.64,0.00,553.53,"167,630.00",558.94,"92,787,926.90",568,-15.10,30.10,-2.70,5.57,-1.78,487.43,509.06,662.00,424.00
78,H8020,28.96,11.70,11.75,11.65,11.65,11.65,0.00,0.00,11.68,"16,050.00",11.77,"187,503.00",20,-0.12,0.10,-1.02,0.86,-0.28,10.82,10.56,12.06,9.60
79,HATHY,24.69,"1,248.20","1,255.00","1,225.00","1,227.65","1,226.00",1.65,0.00,"1,236.20","12,971.00","1,248.05","16,034,802.30",238,-20.40,30.00,-1.63,2.45,-0.70,"1,309.80","1,340.62","1,790.00","1,180.30"
80,HBL,23.37,225.00,237.20,225.00,226.10,226.70,-0.60,0.00,227.27,"41,959.00",228.44,"9,536,084.10",277,-2.34,12.20,-1.02,5.42,-0.52,229.57,233.83,312.10,210.00
81,HDHPC,25.02,201.20,209.90,201.20,203.82,204.00,-0.18,0.00,206.41,"154,252.00",205.23,"31,839,763.50",591,-1.41,8.70,-0.69,4.32,-1.27,202.71,203.45,273.00,184.00
82,HDL,28.25,"1,395.00","1,401.00","1,350.00","1,351.89","1,350.00",1.89,0.00,"1,369.53","195,027.00","1,373.93","267,095,331.80","1,393",-22.04,51.00,-1.60,3.78,-1.30,"1,231.43","1,247.71","1,696.00","1,136.00"
83,HEI,27.05,595.50,595.50,575.00,578.40,579.00,-0.60,0.00,580.24,"12,448.00",583.92,"7,222,836.10",105,-5.52,20.50,-0.95,3.57,-0.32,600.89,617.22,810.00,547.40
84,HEIP,25.02,368.10,368.30,368.00,368.23,368.20,0.03,0.00,368.16,"2,273.00",372.50,"836,817.80",6,-4.27,0.30,-1.15,0.08,0.02,373.83,407.98,563.00,342.20
85,HHL,22.92,395.00,400.30,385.10,386.00,385.10,0.90,0.00,391.48,"37,210.00",392.50,"14,567,080.90",284,-6.50,15.20,-1.66,3.95,-1.42,457.97,480.90,635.00,351.00
86,HIDCL,27.12,298.90,298.90,288.00,288.56,288.10,0.46,0.00,290.87,"290,368.00",294.19,"84,458,340.00",802,-5.63,10.90,-1.91,3.78,-0.80,292.66,279.23,360.00,225.40
87,HIDCLP,25.48,214.40,214.40,207.00,207.42,208.50,-1.08,-0.01,209.17,"396,654.00",211.87,"82,967,963.70",620,-4.45,7.40,-2.10,3.57,-0.84,199.72,189.87,239.00,121.30
88,HLBSL,31.66,"1,074.00","1,074.00","1,040.10","1,040.52","1,040.10",0.42,0.00,"1,049.87","6,739.00","1,056.31","7,075,047.20",71,-15.79,33.90,-1.49,3.26,-0.90,985.01,986.07,"1,158.20",817.00
89,HLI,23.42,410.00,418.20,410.00,411.48,411.00,0.48,0.00,413.21,"53,454.00",414.06,"22,087,878.00",560,-2.58,8.20,-0.62,2.00,-0.42,417.73,434.67,607.00,377.70
90,HPPL,35.03,504.50,535.30,499.80,514.31,509.90,4.41,0.01,508.19,"107,824.00",504.70,"54,794,762.20",376,9.61,35.50,1.90,7.10,1.19,559.30,519.16,711.00,290.10
91,HRL,27.92,"1,017.00","1,025.00",995.00,"1,000.54","1,000.00",0.54,0.00,"1,007.53","425,130.00","1,014.43","428,329,922.50","2,487",-13.89,30.00,-1.37,3.02,-0.70,972.96,926.91,"1,156.00",746.20
92,HURJA,24.92,250.00,254.00,245.00,245.52,245.00,0.52,0.00,247.42,"78,422.00",250.70,"19,403,231.50",326,-5.18,9.00,-2.07,3.67,-0.77,251.80,247.18,291.70,198.00
93,ICFC,36.56,704.00,705.90,683.10,685.84,684.00,1.84,0.00,690.97,"48,861.00",692.22,"33,761,693.50",218,-6.38,22.80,-0.92,3.34,-0.75,628.28,652.53,910.00,555.00
94,ICFCD88,28.60,"1,060.00","1,060.00","1,060.00","1,060.00","1,060.00",0.00,0.00,"1,060.00",25.00,"1,065.00","26,500.00",1,-5.00,0.00,-0.47,0.00,0.00,0.00,0.00,"1,125.00","1,000.00"
95,IGI,28.07,546.00,555.00,535.20,535.77,535.30,0.47,0.00,541.09,"31,198.00",548.05,"16,880,956.40",224,-12.28,19.80,-2.24,3.70,-0.99,564.74,576.53,760.00,510.00
96,IHL,25.57,560.00,589.90,548.80,556.40,556.50,-0.10,0.00,558.68,"4,618.00",570.54,"2,579,983.30",72,-14.14,41.10,-2.48,7.49,-0.41,624.72,641.85,838.00,440.00
97,ILBS,40.60,"1,230.00","1,254.00","1,230.00","1,244.68","1,240.00",4.68,0.00,"1,241.78","62,544.00","1,247.87","77,665,911.50",370,-3.19,24.00,-0.26,1.95,0.23,940.46,959.51,"1,254.00",795.20
98,ILI,28.37,458.50,463.00,455.00,455.23,455.00,0.23,0.00,457.78,"33,698.00",458.83,"15,426,305.10",636,-3.60,8.00,-0.78,1.76,-0.56,466.00,472.15,606.00,430.50
99,JBBL,24.59,355.10,369.30,354.00,355.02,355.90,-0.88,0.00,360.59,"82,198.00",362.26,"29,640,017.50",370,-7.24,15.30,-2.00,4.32,-1.57,344.03,352.97,445.00,315.00
100,JBLB,30.69,"1,475.00","1,475.00","1,427.00","1,432.20","1,440.00",-7.80,-0.01,"1,442.17","9,448.00","1,470.77","13,625,642.40",250,-38.57,48.00,-2.62,3.36,-0.70,"1,359.68","1,405.09","1,920.00","1,270.70"
101,JFL,24.51,502.00,510.00,494.00,495.28,497.00,-1.72,0.00,499.04,"15,757.00",502.08,"7,863,351.70",176,-6.80,16.00,-1.35,3.24,-0.76,502.35,597.11,"1,083.30",400.00
102,JOSHI,24.25,337.90,338.00,322.60,323.67,323.00,0.67,0.00,327.07,"24,330.00",331.33,"7,957,593.50",182,-7.66,15.40,-2.31,4.77,-1.05,378.72,388.53,521.60,265.00
103,JSLBB,31.63,"1,385.10","1,389.90","1,370.00","1,372.98","1,389.90",-16.92,-0.01,"1,371.77","2,426.00","1,390.30","3,327,921.60",17,-17.32,19.90,-1.25,1.45,0.09,"1,434.89","1,497.76","1,860.40","1,216.20"
104,KBL,25.31,218.00,219.90,210.10,211.39,211.00,0.39,0.00,214.56,"352,633.00",216.09,"75,660,945.90","1,182",-4.70,9.80,-2.18,4.66,-1.50,209.09,210.97,272.90,192.10
105,KBSH,33.15,"1,961.00","2,025.00","1,961.00","1,970.22","1,971.00",-0.78,0.00,"1,978.46",968.00,"2,000.20","1,915,151.00",30,-29.98,64.00,-1.50,3.26,-0.42,"2,137.06","2,292.23","3,300.00","1,715.00"
106,KDBY,35.89,10.12,10.38,10.12,10.30,10.30,0.00,0.00,10.24,"19,250.00",10.29,"197,170.50",70,0.01,0.26,0.10,2.57,0.56,9.57,9.55,11.00,8.51
107,KDL,25.24,"1,095.10","1,100.10","1,090.00","1,094.00","1,095.00",-1.00,0.00,"1,095.78","2,580.00","1,114.38","2,827,107.80",62,-20.38,10.10,-1.83,0.93,-0.16,"1,137.77","1,133.01","1,329.00",970.00
108,KEF,27.04,10.04,10.04,9.70,9.86,9.86,0.00,0.00,9.87,"39,500.00",9.85,"390,010.50",55,0.01,0.34,0.10,3.51,-0.14,9.18,9.14,10.76,7.91
109,KKHC,39.96,280.00,285.60,276.00,278.02,278.00,0.02,0.00,281.36,"24,882.00",279.44,"7,000,725.60",210,-1.42,9.60,-0.51,3.48,-1.20,349.88,355.13,475.90,235.20
110,KMCDB,44.03,"1,082.90","1,126.50","1,082.90","1,107.09","1,118.00",-10.91,-0.01,"1,109.75","12,647.00","1,104.99","14,035,024.30",155,2.10,43.60,0.19,4.03,-0.24,"1,064.66","1,076.27","1,270.00",950.60
111,KPCL,27.62,595.20,618.60,580.00,585.14,591.50,-6.36,-0.01,599.18,"190,193.00",607.26,"113,959,312.10",513,-22.12,38.60,-3.64,6.66,-2.40,555.21,551.70,711.00,440.00
112,KSBBL,24.93,534.00,537.50,515.00,517.02,517.00,0.02,0.00,524.76,"112,669.00",532.64,"59,123,940.90",443,-15.62,22.50,-2.93,4.37,-1.50,462.78,459.63,588.00,416.00
113,KSY,21.39,9.38,9.54,9.38,9.47,9.47,0.00,0.00,9.44,700.00,9.54,"6,609.00",4,-0.07,0.16,-0.73,1.71,0.30,9.21,9.15,10.91,8.25
114,LBBL,26.00,576.00,579.80,548.10,551.03,549.00,2.03,0.00,559.17,"310,218.00",574.56,"173,464,495.10",881,-23.53,31.70,-4.10,5.78,-1.48,458.27,467.01,646.30,376.50
115,LEC,32.67,249.10,263.00,234.00,236.22,235.00,1.22,0.01,246.33,"869,235.00",254.17,"214,114,668.10","2,192",-17.95,29.00,-7.06,12.39,-4.28,217.44,216.47,344.00,195.00
116,LICN,24.05,908.00,909.00,876.00,884.96,876.00,8.96,0.01,887.81,"10,882.00",891.86,"9,661,106.50",134,-6.90,33.00,-0.77,3.77,-0.32,981.07,"1,050.64","2,475.00",830.00
