SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
186,2024-10-24,156.76,158.42,155.97,(-1.20),(-0.76 %),177.64,113.28,"2,085,702,642.50","4,010,251","20,747"
187,2024-10-23,157.97,160.93,157.59,(-1.20),(-0.75 %),177.64,113.28,"2,703,626,147.50","5,931,991","25,400"
188,2024-10-22,159.17,159.61,157.24,(1.38),(0.87 %),177.64,113.28,"1,524,585,527.70","3,659,679","18,132"
189,2024-10-21,157.79,161.64,157.70,(-3.71),(-2.29 %),177.64,113.28,"2,129,940,381.51","5,108,741","25,407"
190,2024-10-20,161.50,164.70,160.63,(-2.57),(-1.56 %),177.64,113.28,"3,084,033,541.71","7,166,637","30,427"
191,2024-10-17,164.07,166.21,163.20,(0.24),(0.15 %),177.64,113.28,"2,885,562,357.87","6,936,736","29,669"
192,2024-10-16,163.82,164.02,161.38,(2.74),(1.70 %),177.64,113.28,"2,135,142,398.41","4,994,100","22,380"
193,2024-10-15,161.08,161.18,159.00,(2.03),(1.27 %),177.64,113.28,"1,056,277,349.60","2,355,320","11,901"
194,2024-10-09,159.05,159.34,157.64,(0.01),(0.00 %),177.64,113.28,"1,417,815,349.04","3,343,268","14,041"
195,2024-10-08,159.03,161.08,158.36,(-1.16),(-0.72 %),177.64,113.28,"1,952,440,019.89","4,253,084","16,286"
196,2024-10-07,160.20,161.18,158.12,(2.34),(1.48 %),177.64,113.28,"2,761,957,599.95","6,094,058","25,415"
197,2024-10-06,157.85,157.87,153.40,(3.52),(2.28 %),177.64,113.28,"2,181,716,646.70","4,764,315","23,588"
198,2024-10-02,154.33,157.10,153.33,(-1.39),(-0.89 %),177.64,113.28,"2,708,820,261.70","6,359,332","29,460"
199,2024-10-01,155.73,155.73,148.70,(7.05),(4.74 %),177.64,113.28,"3,224,265,046.10","7,403,058","36,041"
200,2024-09-30,148.67,148.70,146.38,(2.23),(1.52 %),177.64,113.28,"1,377,584,318.20","3,168,336","17,311"
201,2024-09-29,146.44,148.04,145.04,(-0.93),(-0.63 %),177.64,113.28,"1,778,821,579.90","4,165,805","22,413"
202,2024-09-26,147.37,150.45,146.91,(-1.96),(-1.31 %),177.64,113.28,"2,221,625,304.20","5,450,211","26,815"
203,2024-09-25,149.33,149.34,144.48,(3.21),(2.19 %),177.64,113.28,"2,101,418,099.50","5,349,863","26,079"
